City/Town,Ward,Pct,Edward J. Markey,"Joseph P. Kennedy, III",All Others,Blanks,Total Votes Cast,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage
Boston,6.00,7.00,309.00,192.00,4.00,11.00,516.00,1526.00,1491.00,7.00,1.00,12.00,2.00,3.00,10.00,1526.00,1477.00,7.00,20.00,1.00,12.00,1.00,0.00,8.00,0.46,0.07,0.79,0.13,0.20,0.66,1.31,97.71
Boston,6.00,8.00,252.00,209.00,4.00,7.00,472.00,1545.00,1518.00,3.00,1.00,10.00,0.00,3.00,10.00,1545.00,1512.00,3.00,10.00,1.00,9.00,0.00,0.00,10.00,0.19,0.06,0.65,0.00,0.19,0.65,0.65,98.25
Boston,6.00,9.00,254.00,186.00,4.00,28.00,472.00,1572.00,1543.00,17.00,2.00,1.00,0.00,4.00,5.00,1572.00,1530.00,15.00,18.00,2.00,1.00,0.00,1.00,5.00,1.08,0.13,0.06,0.00,0.25,0.32,1.15,98.16
Boston,7.00,1.00,227.00,188.00,4.00,25.00,444.00,1363.00,1343.00,2.00,0.00,12.00,0.00,3.00,3.00,1363.00,1334.00,2.00,12.00,0.00,12.00,0.00,0.00,3.00,0.15,0.00,0.88,0.00,0.22,0.22,0.88,98.53
Boston,7.00,2.00,300.00,204.00,5.00,24.00,533.00,1769.00,1733.00,9.00,0.00,16.00,1.00,1.00,9.00,1769.00,1719.00,9.00,15.00,0.00,16.00,1.00,0.00,9.00,0.51,0.00,0.90,0.06,0.06,0.51,0.85,97.96
Boston,7.00,3.00,345.00,290.00,2.00,17.00,654.00,2133.00,2048.00,15.00,2.00,32.00,0.00,18.00,18.00,2133.00,2019.00,15.00,48.00,2.00,31.00,0.00,2.00,16.00,0.70,0.09,1.50,0.00,0.84,0.84,2.25,96.02
Boston,7.00,4.00,265.00,195.00,2.00,14.00,476.00,1829.00,1576.00,69.00,2.00,75.00,0.00,64.00,43.00,1829.00,1540.00,57.00,115.00,2.00,75.00,0.00,20.00,20.00,3.77,0.11,4.10,0.00,3.50,2.35,6.29,86.17
Boston,7.00,5.00,230.00,176.00,1.00,7.00,414.00,1905.00,1407.00,177.00,5.00,157.00,2.00,107.00,50.00,1905.00,1338.00,138.00,229.00,3.00,154.00,2.00,17.00,24.00,9.29,0.26,8.24,0.10,5.62,2.62,12.02,73.86
Boston,7.00,6.00,221.00,171.00,1.00,10.00,403.00,1586.00,1074.00,160.00,5.00,152.00,1.00,145.00,49.00,1586.00,992.00,130.00,289.00,1.00,150.00,1.00,6.00,17.00,10.09,0.32,9.58,0.06,9.14,3.09,18.22,67.72
Boston,7.00,7.00,72.00,161.00,1.00,2.00,236.00,1496.00,572.00,404.00,14.00,224.00,3.00,200.00,79.00,1496.00,363.00,312.00,561.00,6.00,224.00,2.00,5.00,23.00,27.01,0.94,14.97,0.20,13.37,5.28,37.50,38.24
Boston,7.00,8.00,299.00,131.00,2.00,3.00,435.00,1487.00,1173.00,97.00,3.00,137.00,0.00,59.00,18.00,1487.00,1132.00,94.00,99.00,3.00,137.00,0.00,6.00,16.00,6.52,0.20,9.21,0.00,3.97,1.21,6.66,78.88
Boston,7.00,9.00,217.00,136.00,2.00,2.00,357.00,1551.00,993.00,159.00,11.00,221.00,1.00,128.00,38.00,1551.00,937.00,147.00,150.00,7.00,221.00,1.00,60.00,28.00,10.25,0.71,14.25,0.06,8.25,2.45,9.67,64.02
Boston,7.00,10.00,148.00,197.00,0.00,2.00,347.00,1847.00,325.00,584.00,6.00,47.00,2.00,686.00,197.00,1847.00,206.00,540.00,377.00,3.00,46.00,1.00,504.00,170.00,31.62,0.32,2.54,0.11,37.14,10.67,20.41,17.60
Boston,8.00,1.00,229.00,197.00,0.00,4.00,430.00,1484.00,598.00,376.00,3.00,176.00,4.00,265.00,62.00,1484.00,436.00,334.00,489.00,3.00,176.00,4.00,13.00,29.00,25.34,0.20,11.86,0.27,17.86,4.18,32.95,40.30
Boston,8.00,2.00,480.00,261.00,0.00,7.00,748.00,4588.00,2484.00,1212.00,19.00,598.00,1.00,189.00,85.00,4588.00,1889.00,1174.00,819.00,14.00,597.00,1.00,33.00,61.00,26.42,0.41,13.03,0.02,4.12,1.85,17.85,54.14
Boston,8.00,3.00,146.00,175.00,0.00,1.00,322.00,1269.00,266.00,715.00,10.00,52.00,0.00,169.00,57.00,1269.00,180.00,658.00,325.00,6.00,51.00,0.00,21.00,28.00,56.34,0.79,4.10,0.00,13.32,4.49,25.61,20.96
Boston,8.00,4.00,83.00,103.00,0.00,0.00,186.00,664.00,75.00,392.00,5.00,11.00,0.00,142.00,39.00,664.00,21.00,352.00,239.00,5.00,11.00,0.00,19.00,17.00,59.04,0.75,1.66,0.00,21.39,5.87,35.99,11.30
Boston,8.00,5.00,168.00,231.00,1.00,4.00,404.00,1638.00,124.00,659.00,8.00,40.00,4.00,613.00,190.00,1638.00,59.00,610.00,290.00,4.00,38.00,3.00,477.00,157.00,40.23,0.49,2.44,0.24,37.42,11.60,17.70,7.57
Boston,8.00,6.00,73.00,74.00,1.00,2.00,150.00,681.00,144.00,214.00,0.00,10.00,0.00,256.00,57.00,681.00,105.00,186.00,115.00,0.00,10.00,0.00,215.00,50.00,31.42,0.00,1.47,0.00,37.59,8.37,16.89,21.15
Boston,8.00,7.00,122.00,149.00,0.00,0.00,271.00,1084.00,183.00,635.00,11.00,10.00,0.00,156.00,89.00,1084.00,71.00,580.00,326.00,5.00,10.00,0.00,38.00,54.00,58.58,1.01,0.92,0.00,14.39,8.21,30.07,16.88
Boston,9.00,1.00,268.00,332.00,0.00,15.00,615.00,2092.00,1030.00,302.00,11.00,436.00,1.00,248.00,64.00,2092.00,748.00,247.00,633.00,3.00,435.00,0.00,4.00,22.00,14.44,0.53,20.84,0.05,11.85,3.06,30.26,49.24
Boston,9.00,2.00,499.00,283.00,0.00,2.00,784.00,2267.00,1548.00,353.00,4.00,209.00,0.00,93.00,60.00,2267.00,1426.00,334.00,249.00,2.00,209.00,0.00,4.00,43.00,15.57,0.18,9.22,0.00,4.10,2.65,10.98,68.28
Boston,9.00,3.00,454.00,443.00,2.00,3.00,902.00,3652.00,1396.00,1415.00,13.00,204.00,3.00,428.00,193.00,3652.00,1069.00,1228.00,1041.00,8.00,203.00,1.00,18.00,84.00,38.75,0.36,5.59,0.08,11.72,5.28,28.50,38.23
Boston,9.00,4.00,218.00,278.00,0.00,4.00,500.00,4580.00,2516.00,1102.00,31.00,402.00,0.00,354.00,175.00,4580.00,2235.00,981.00,834.00,16.00,401.00,0.00,23.00,90.00,24.06,0.68,8.78,0.00,7.73,3.82,18.21,54.93
Boston,9.00,5.00,361.00,382.00,2.00,2.00,747.00,2282.00,357.00,1491.00,29.00,51.00,0.00,211.00,143.00,2282.00,226.00,1380.00,507.00,14.00,50.00,0.00,22.00,83.00,65.34,1.27,2.23,0.00,9.25,6.27,22.22,15.64
