,TITO JACKSON,JOSEPH A WILEY,ROBERT CAPPUCCI,MARTIN J WALSH,DONALD OSGOOD SR (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Walsh Percentage of votes,Jackson Percentage of votes,Ward_Precinct,Registered Voters,Turnout,Unnamed: 0,Precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,Ward_Precinct_BallotXTurnout
56,38,3,61,246,0,2,350,9,359,68.52367688,10.58495822,0608,1565,0.2293929712,59,0608,1545,1518,3,1,10,0,3,10,1545,1512,3,10,1,9,0,0,10,0.1941747573,0.06472491909,0.6472491909,0,0.1941747573,0.6472491909,0.6472491909,98.25242718,82.35207668
57,29,4,87,235,0,2,357,17,374,62.8342246,7.754010695,0609,1505,0.2485049834,60,0609,1572,1543,17,2,1,0,4,5,1572,1530,15,18,2,1,0,1,5,1.081424936,0.1272264631,0.06361323155,0,0.2544529262,0.3180661578,1.145038168,98.15521628,92.94086379
58,38,0,80,308,0,2,428,9,437,70.4805492,8.695652174,0701,1324,0.330060423,61,0701,1363,1343,2,0,12,0,3,3,1363,1334,2,12,0,12,0,0,3,0.1467351431,0,0.8804108584,0,0.2201027146,0.2201027146,0.8804108584,98.53264857,144.2364048
59,31,4,69,268,0,3,375,11,386,69.43005181,8.031088083,0702,1737,0.2222222222,62,0702,1769,1733,9,0,16,1,1,9,1769,1719,9,15,0,16,1,0,9,0.5087620124,0,0.9044657999,0.05652911249,0.05652911249,0.5087620124,0.8479366874,97.96495195,85.77777778
60,42,2,79,375,0,4,502,10,512,73.2421875,8.203125,0703,2002,0.2557442557,63,0703,2133,2048,15,2,32,0,18,18,2133,2019,15,48,2,31,0,2,16,0.7032348805,0.09376465073,1.500234412,0,0.8438818565,0.8438818565,2.250351617,96.01500234,130.9410589
61,28,0,51,204,0,1,284,13,297,68.68686869,9.427609428,0704,1748,0.1699084668,64,0704,1829,1576,69,2,75,0,64,43,1829,1540,57,115,2,75,0,20,20,3.772553308,0.1093493712,4.100601422,0,3.49917988,2.351011482,6.287588846,86.16730454,50.46281465
62,35,7,30,168,0,5,245,18,263,63.878327,13.30798479,0705,1594,0.1649937265,65,0705,1905,1407,177,5,157,2,107,50,1905,1338,138,229,3,154,2,17,24,9.291338583,0.2624671916,8.241469816,0.1049868766,5.6167979,2.624671916,12.02099738,73.85826772,43.39335006
63,34,2,30,184,0,1,251,4,255,72.15686275,13.33333333,0706,1419,0.1797040169,66,0706,1586,1074,160,5,152,1,145,49,1586,992,130,289,1,150,1,6,17,10.08827238,0.315258512,9.583858764,0.0630517024,9.142496847,3.089533417,18.22194199,67.71752837,45.82452431
64,29,3,18,164,0,3,217,0,217,75.57603687,13.3640553,0707,1223,0.1774325429,67,0707,1496,572,404,14,224,3,200,79,1496,363,312,561,6,224,2,5,23,27.00534759,0.935828877,14.97326203,0.2005347594,13.36898396,5.280748663,37.5,38.23529412,38.50286182
65,34,2,24,129,0,1,190,0,190,67.89473684,17.89473684,0708,1177,0.1614273577,68,0708,1487,1173,97,3,137,0,59,18,1487,1132,94,99,3,137,0,6,16,6.523201076,0.2017484869,9.213180901,0,3.967720242,1.210490921,6.657700067,78.88365837,30.67119796
66,27,0,12,112,0,0,151,0,151,74.17218543,17.8807947,0709,1182,0.127749577,69,0709,1551,993,159,11,221,1,128,38,1551,937,147,150,7,221,1,60,28,10.25145068,0.7092198582,14.2488717,0.06447453256,8.252740168,2.450032237,9.671179884,64.02321083,19.29018613
67,37,2,2,101,0,1,143,0,143,70.62937063,25.87412587,0710,1361,0.1050698016,70,0710,1847,325,584,6,47,2,686,197,1847,206,540,377,3,46,1,504,170,31.61884136,0.3248511099,2.544667028,0.1082837033,37.14131023,10.66594478,20.41147807,17.59610179,15.02498163
68,51,1,4,119,0,1,176,2,178,66.85393258,28.65168539,0801,1268,0.1403785489,71,0801,1484,598,376,3,176,4,265,62,1484,436,334,489,3,176,4,13,29,25.33692722,0.2021563342,11.85983827,0.269541779,17.85714286,4.177897574,32.95148248,40.29649596,24.9873817
69,103,4,9,189,1,0,306,0,306,61.76470588,33.66013072,0802,2781,0.1100323625,72,0802,4588,2484,1212,19,598,1,189,85,4588,1889,1174,819,14,597,1,33,61,26.41673932,0.4141238012,13.03400174,0.02179598954,4.119442023,1.852659111,17.85091543,54.14123801,33.66990291
